Horodateur,Quel est ton âge ?,Quel est ton niveau scolaire actuel ?,Quelles sont tes matières préférées à l’école ?,Quelles matières aimes-tu le moins ?,Quel type d’activités préfères-tu en dehors de l’école ?,Préfères-tu travailler seul(e) ou en groupe ?,"Aimes-tu les matières scientifiques (maths, physique, chimie) ?","Préfères-tu les matières littéraires (français, histoire, langues) ?","Es-tu intéressé(e) par les arts (musique, dessin, théâtre) ?",Quel est ton style d’apprentissage préféré ?,Aimes-tu résoudre des problèmes ou des énigmes ?,Te sens-tu à l’aise avec les technologies et l’informatique ?,Aimes-tu travailler avec des chiffres et des données ?,Es-tu attiré(e) par les métiers liés à la santé ou au social ?,Quel est ton niveau en langues étrangères ?,Préfères-tu des métiers créatifs ou techniques ?,Aimes-tu la recherche et l’analyse ?,As-tu déjà une idée du métier que tu aimerais faire plus tard ?,Quel type d’environnement de travail te motive le plus ?,Es-tu prêt(e) à suivre des études longues (plus de 3 ans) ?,Quelle importance accordes-tu à la stabilité de l’emploi dans ton choix de carrière ?,Préfères-tu un métier avec beaucoup de contacts humains ?,Quel rôle voudrais-tu avoir dans une équipe ?,Quelles qualités personnelles te décrivent le mieux ?,Comment gères-tu le stress ou les situations difficiles ?,As-tu déjà participé à des projets ou activités extra-scolaires ?,Quelle place accordes-tu à l’innovation et à la créativité dans ton travail ?,Es-tu intéressé(e) par l’entrepreneuriat ou créer ta propre entreprise ?,Quels sont tes objectifs personnels à court terme (1-2 ans) ?,Comment imagines-tu ta vie professionnelle dans 10 ans ?,Champ convenable
08/07/2025 01:05:52,Moins de 14 ans,Post-bac / Université,Physique-Chimie,Arts plastiques / Musique,"Jeux vidéo, Sports",En groupe,Un peu,Un peu,Non,Je ne sais pas,"Oui, beaucoup",Moyennement,Oui,Non,Avancé,Techniques,Un peu,Pas encore,Travail manuel,Non,Très importante,Parfois,Organisateur / planificateur,"Rigoureux(se), Dynamique, Curieux(se)",Je préfère éviter ces situations,"Oui, une fois ou deux",Peu importante,Un peu,Développer mes compétences,Travailler dans un domaine qui me passionne,Divers
08/07/2025 01:10:52,16-17 ans,Terminale,"Langues étrangères, Français",Sciences de la vie et de la Terre,Sports,Ça dépend des situations,Un peu,Un peu,Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Oui,Leader / chef de projet,"Patient(e), Rigoureux(se), Organisé(e)",Je préfère éviter ces situations,Non,Très importante,"Oui, beaucoup",Trouver un stage,Travailler dans un domaine qui me passionne,Communication / Marketing
08/07/2025 01:15:52,18 ans et plus,Terminale,Sciences de la vie et de la Terre,"Physique-Chimie, Histoire-Géographie",Sorties avec des amis,Seul(e),"Oui, beaucoup",Un peu,Non,"Kinesthésique (faire, manipuler)",Non,Moyennement,Parfois,Peut-être,Intermédiaire,Créatifs,Un peu,J’ai quelques idées,Je ne sais pas,Peut-être,Très importante,Parfois,Leader / chef de projet,Dynamique,Je reste calme et cherche des solutions,Non,Moyennement importante,"Oui, beaucoup",Trouver un stage,Travailler dans un domaine qui me passionne,Divers
08/07/2025 01:20:52,18 ans et plus,Seconde,"Arts plastiques / Musique, Français, Histoire-Géographie",,Lecture,En groupe,Un peu,"Oui, beaucoup",Non,Je ne sais pas,Non,Oui,Parfois,Non,Débutant,Techniques,Oui,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Très importante,Parfois,Je ne sais pas,Patient(e),Je reste calme et cherche des solutions,"Oui, plusieurs fois",Peu importante,Un peu,Trouver un stage,Contribuer à la société,Recherche / Sciences
08/07/2025 01:25:52,16-17 ans,Post-bac / Université,Arts plastiques / Musique,"Histoire-Géographie, Sciences de la vie et de la Terre","Lecture, Bénévolat / Engagement associatif",En groupe,"Oui, beaucoup","Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Parfois,Oui,Avancé,Créatifs,Non,Pas encore,Travail en extérieur,Non,Peu importante,Oui,Créatif / innovateur,"Organisé(e), Dynamique",Je reste calme et cherche des solutions,Non,Peu importante,"Oui, beaucoup",Développer mes compétences,Continuer à apprendre,Lettres / Sciences Humaines
08/07/2025 01:30:52,18 ans et plus,Post-bac / Université,Sciences de la vie et de la Terre,,"Activités artistiques, Lecture, Sports",Ça dépend des situations,Pas du tout,Un peu,Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Parfois,Non,Courant / bilingue,Je ne sais pas,Un peu,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Moyennement importante,Parfois,Je ne sais pas,"Organisé(e), Créatif(ve), Patient(e)",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Créer un projet personnel,Continuer à apprendre,Divers
08/07/2025 01:35:52,14-15 ans,Post-bac / Université,"Physique-Chimie, Français",,"Sports, Bénévolat / Engagement associatif, Activités artistiques",Ça dépend des situations,"Oui, beaucoup",Un peu,Non,"Auditif (écoute, explications orales)",Non,Moyennement,Parfois,Non,Débutant,Techniques,Un peu,J’ai quelques idées,Laboratoire / recherche,Non,Très importante,Non,Je ne sais pas,Rigoureux(se),Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,Un peu,Obtenir mon diplôme,Contribuer à la société,Technologie / Technique
08/07/2025 01:40:52,16-17 ans,Première,"Histoire-Géographie, Physique-Chimie, Français","Mathématiques, Arts plastiques / Musique",Sorties avec des amis,En groupe,Un peu,Pas du tout,Non,"Visuel (images, schémas)","Oui, beaucoup",Oui,Non,Oui,Intermédiaire,Créatifs,Non,J’ai quelques idées,Je ne sais pas,Oui,Peu importante,Oui,Exécutant / spécialiste,"Créatif(ve), Rigoureux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Peu importante,"Oui, beaucoup",Obtenir mon diplôme,Avoir un poste à responsabilités,Communication / Marketing
08/07/2025 01:45:52,18 ans et plus,Terminale,"Histoire-Géographie, Mathématiques",,Activités artistiques,En groupe,Pas du tout,"Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Parfois,Peut-être,Intermédiaire,Créatifs,Un peu,J’ai quelques idées,Je ne sais pas,Oui,Moyennement importante,Non,Organisateur / planificateur,"Curieux(se), Organisé(e)",Je préfère éviter ces situations,"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Créer un projet personnel,Contribuer à la société,Lettres / Sciences Humaines
08/07/2025 01:50:52,16-17 ans,Post-bac / Université,"Sciences de la vie et de la Terre, Langues étrangères",Arts plastiques / Musique,Jeux vidéo,Ça dépend des situations,Un peu,Pas du tout,Oui,Je ne sais pas,"Oui, beaucoup",Oui,Parfois,Non,Courant / bilingue,Créatifs,Oui,J’ai quelques idées,Laboratoire / recherche,Non,Peu importante,Parfois,Leader / chef de projet,"Curieux(se), Créatif(ve), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Peu importante,Pas du tout,Développer mes compétences,Contribuer à la société,Arts / Création
08/07/2025 01:55:52,18 ans et plus,Post-bac / Université,"Langues étrangères, Mathématiques",Physique-Chimie,"Bénévolat / Engagement associatif, Jeux vidéo, Sorties avec des amis",En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Kinesthésique (faire, manipuler)",Parfois,Oui,Non,Non,Intermédiaire,Les deux,Oui,J’ai quelques idées,Laboratoire / recherche,Non,Moyennement importante,Parfois,Je ne sais pas,Curieux(se),Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,Un peu,Obtenir mon diplôme,Continuer à apprendre,Technologie / Technique
08/07/2025 02:00:52,14-15 ans,Post-bac / Université,"Langues étrangères, Sciences de la vie et de la Terre, Français","Physique-Chimie, Arts plastiques / Musique",Jeux vidéo,En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Auditif (écoute, explications orales)",Parfois,Oui,Non,Non,Intermédiaire,Les deux,Oui,Pas encore,Laboratoire / recherche,Oui,Peu importante,Non,Créatif / innovateur,"Curieux(se), Organisé(e), Rigoureux(se)",Je me sens parfois dépassé(e),Non,Peu importante,Un peu,Trouver un stage,Avoir un poste à responsabilités,Informatique / Ingénierie
08/07/2025 02:05:52,18 ans et plus,Terminale,"Français, Mathématiques","Sciences de la vie et de la Terre, Histoire-Géographie","Bénévolat / Engagement associatif, Sports",En groupe,Pas du tout,Pas du tout,Un peu,"Kinesthésique (faire, manipuler)",Parfois,Non,Oui,Oui,Intermédiaire,Créatifs,Un peu,"Oui, clairement",Travail en extérieur,Oui,Très importante,Parfois,Créatif / innovateur,"Curieux(se), Créatif(ve), Dynamique",Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,"Oui, beaucoup",Obtenir mon diplôme,Travailler dans un domaine qui me passionne,Divers
08/07/2025 02:10:52,16-17 ans,Seconde,"Mathématiques, Français, Arts plastiques / Musique",,Bénévolat / Engagement associatif,Ça dépend des situations,Pas du tout,"Oui, beaucoup",Non,Je ne sais pas,Parfois,Oui,Non,Peut-être,Courant / bilingue,Techniques,Non,"Oui, clairement",Travail manuel,Peut-être,Très importante,Oui,Exécutant / spécialiste,"Créatif(ve), Curieux(se), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Créer un projet personnel,Être entrepreneur,Santé / Social
08/07/2025 02:15:52,14-15 ans,Post-bac / Université,"Physique-Chimie, Langues étrangères","Français, Arts plastiques / Musique","Bénévolat / Engagement associatif, Sorties avec des amis, Activités artistiques",Seul(e),"Oui, beaucoup","Oui, beaucoup",Non,"Auditif (écoute, explications orales)",Parfois,Oui,Non,Non,Débutant,Techniques,Oui,J’ai quelques idées,Laboratoire / recherche,Peut-être,Très importante,Parfois,Exécutant / spécialiste,Dynamique,Je me sens parfois dépassé(e),Non,Moyennement importante,Pas du tout,Développer mes compétences,Être entrepreneur,Technologie / Technique
08/07/2025 02:20:52,18 ans et plus,Terminale,"Langues étrangères, Sciences de la vie et de la Terre, Français",,Jeux vidéo,En groupe,"Oui, beaucoup",Pas du tout,Oui,Je ne sais pas,Parfois,Oui,Parfois,Non,Intermédiaire,Créatifs,Un peu,Pas encore,Je ne sais pas,Oui,Moyennement importante,Parfois,Organisateur / planificateur,"Organisé(e), Dynamique, Curieux(se)",Je préfère éviter ces situations,Non,Moyennement importante,Un peu,Créer un projet personnel,Être entrepreneur,Arts / Création
08/07/2025 02:25:52,Moins de 14 ans,Terminale,Français,,"Activités artistiques, Bénévolat / Engagement associatif",Seul(e),Pas du tout,Pas du tout,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Techniques,Un peu,J’ai quelques idées,Travail en extérieur,Oui,Très importante,Oui,Organisateur / planificateur,Curieux(se),Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Un peu,Obtenir mon diplôme,Contribuer à la société,Santé / Social
08/07/2025 02:30:52,16-17 ans,Post-bac / Université,Arts plastiques / Musique,Physique-Chimie,"Bénévolat / Engagement associatif, Lecture, Sorties avec des amis",En groupe,Un peu,Pas du tout,Un peu,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Moyennement,Oui,Oui,Courant / bilingue,Les deux,Un peu,J’ai quelques idées,Laboratoire / recherche,Oui,Très importante,Parfois,Exécutant / spécialiste,"Patient(e), Dynamique",Je reste calme et cherche des solutions,Non,Moyennement importante,Un peu,Réussir mes examens,Contribuer à la société,Divers
08/07/2025 02:35:52,18 ans et plus,Post-bac / Université,"Mathématiques, Histoire-Géographie, Physique-Chimie","Français, Arts plastiques / Musique","Jeux vidéo, Lecture",Seul(e),"Oui, beaucoup","Oui, beaucoup",Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Moyennement,Non,Peut-être,Intermédiaire,Techniques,Un peu,"Oui, clairement",Laboratoire / recherche,Oui,Très importante,Parfois,Je ne sais pas,"Organisé(e), Dynamique",Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,Un peu,Obtenir mon diplôme,Être entrepreneur,Informatique / Ingénierie
08/07/2025 02:40:52,14-15 ans,Seconde,"Français, Langues étrangères, Sciences de la vie et de la Terre",,Bénévolat / Engagement associatif,En groupe,Un peu,"Oui, beaucoup",Un peu,"Kinesthésique (faire, manipuler)",Parfois,Oui,Parfois,Non,Intermédiaire,Techniques,Oui,"Oui, clairement",Travail manuel,Oui,Peu importante,Non,Exécutant / spécialiste,Dynamique,Je reste calme et cherche des solutions,Non,Peu importante,Un peu,Développer mes compétences,Contribuer à la société,Recherche / Sciences
08/07/2025 02:45:52,16-17 ans,Première,Langues étrangères,"Français, Histoire-Géographie","Activités artistiques, Lecture, Jeux vidéo",Seul(e),Un peu,Un peu,Non,"Auditif (écoute, explications orales)",Non,Moyennement,Non,Peut-être,Intermédiaire,Techniques,Oui,Pas encore,Bureau / travail sur ordinateur,Oui,Très importante,Non,Je ne sais pas,"Dynamique, Curieux(se), Créatif(ve)",Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,Pas du tout,Créer un projet personnel,Avoir un poste à responsabilités,Recherche / Sciences
08/07/2025 02:50:52,18 ans et plus,Terminale,"Histoire-Géographie, Français, Sciences de la vie et de la Terre","Physique-Chimie, Langues étrangères",Activités artistiques,Ça dépend des situations,"Oui, beaucoup","Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Un peu,J’ai quelques idées,Bureau / travail sur ordinateur,Peut-être,Moyennement importante,Oui,Je ne sais pas,"Organisé(e), Dynamique",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,"Oui, beaucoup",Trouver un stage,Continuer à apprendre,Lettres / Sciences Humaines
08/07/2025 02:55:52,16-17 ans,Seconde,"Mathématiques, Langues étrangères",Français,Lecture,Seul(e),Pas du tout,Un peu,Non,"Auditif (écoute, explications orales)",Parfois,Moyennement,Parfois,Non,Intermédiaire,Je ne sais pas,Non,Pas encore,Travail en extérieur,Oui,Très importante,Non,Créatif / innovateur,"Curieux(se), Rigoureux(se)",Je reste calme et cherche des solutions,Non,Très importante,Un peu,Créer un projet personnel,Travailler dans un domaine qui me passionne,Divers
08/07/2025 03:00:52,14-15 ans,Première,Physique-Chimie,,Bénévolat / Engagement associatif,Seul(e),Un peu,Pas du tout,Non,"Kinesthésique (faire, manipuler)",Parfois,Oui,Oui,Peut-être,Intermédiaire,Créatifs,Oui,J’ai quelques idées,Travail en extérieur,Non,Peu importante,Oui,Exécutant / spécialiste,"Créatif(ve), Organisé(e)",Je préfère éviter ces situations,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Trouver un stage,Continuer à apprendre,Communication / Marketing
08/07/2025 03:05:52,14-15 ans,Post-bac / Université,Histoire-Géographie,,"Bénévolat / Engagement associatif, Lecture",En groupe,Un peu,"Oui, beaucoup",Un peu,"Kinesthésique (faire, manipuler)",Non,Moyennement,Parfois,Non,Avancé,Créatifs,Oui,J’ai quelques idées,Travail en extérieur,Peut-être,Très importante,Parfois,Exécutant / spécialiste,"Organisé(e), Patient(e), Dynamique",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Moyennement importante,Pas du tout,Obtenir mon diplôme,Contribuer à la société,Lettres / Sciences Humaines
08/07/2025 03:10:52,16-17 ans,Post-bac / Université,"Langues étrangères, Mathématiques","Sciences de la vie et de la Terre, Physique-Chimie",Jeux vidéo,Ça dépend des situations,Pas du tout,"Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Parfois,Non,Avancé,Techniques,Non,J’ai quelques idées,Je ne sais pas,Non,Très importante,Non,Créatif / innovateur,Dynamique,Je me sens parfois dépassé(e),"Oui, plusieurs fois",Moyennement importante,Un peu,Obtenir mon diplôme,Avoir un poste à responsabilités,Divers
08/07/2025 03:15:52,18 ans et plus,Première,"Physique-Chimie, Sciences de la vie et de la Terre","Français, Mathématiques","Sports, Lecture, Bénévolat / Engagement associatif",Seul(e),Pas du tout,Un peu,Non,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Non,Oui,Intermédiaire,Techniques,Oui,"Oui, clairement",Je ne sais pas,Non,Très importante,Non,Organisateur / planificateur,Organisé(e),Je reste calme et cherche des solutions,Non,Peu importante,Un peu,Créer un projet personnel,Être entrepreneur,Divers
08/07/2025 03:20:52,14-15 ans,Première,"Langues étrangères, Mathématiques",,Jeux vidéo,En groupe,Pas du tout,Un peu,Non,Je ne sais pas,"Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Techniques,Oui,J’ai quelques idées,Travail en extérieur,Non,Très importante,Non,Exécutant / spécialiste,"Rigoureux(se), Organisé(e)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,Pas du tout,Créer un projet personnel,Continuer à apprendre,Divers
08/07/2025 03:25:52,18 ans et plus,Première,"Physique-Chimie, Mathématiques",,Jeux vidéo,Seul(e),Pas du tout,Pas du tout,Un peu,"Auditif (écoute, explications orales)",Parfois,Non,Oui,Oui,Intermédiaire,Techniques,Oui,J’ai quelques idées,Travail en extérieur,Oui,Moyennement importante,Non,Leader / chef de projet,"Dynamique, Créatif(ve)",Je reste calme et cherche des solutions,"Oui, plusieurs fois",Peu importante,Un peu,Réussir mes examens,Être entrepreneur,Recherche / Sciences
08/07/2025 03:30:52,16-17 ans,Terminale,Physique-Chimie,,"Jeux vidéo, Sorties avec des amis, Sports",En groupe,"Oui, beaucoup",Pas du tout,Un peu,Je ne sais pas,Parfois,Moyennement,Oui,Non,Intermédiaire,Créatifs,Oui,Pas encore,Bureau / travail sur ordinateur,Non,Moyennement importante,Non,Créatif / innovateur,"Dynamique, Patient(e)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,Un peu,Réussir mes examens,Travailler dans un domaine qui me passionne,Divers
08/07/2025 03:35:52,16-17 ans,Terminale,"Français, Sciences de la vie et de la Terre, Physique-Chimie","Arts plastiques / Musique, Langues étrangères","Jeux vidéo, Sorties avec des amis, Sports",Ça dépend des situations,"Oui, beaucoup",Pas du tout,Oui,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Oui,Oui,Avancé,Créatifs,Un peu,"Oui, clairement",Je ne sais pas,Peut-être,Peu importante,Parfois,Organisateur / planificateur,"Organisé(e), Rigoureux(se), Dynamique",Je préfère éviter ces situations,Non,Très importante,Un peu,Trouver un stage,Continuer à apprendre,Arts / Création
08/07/2025 03:40:52,Moins de 14 ans,Post-bac / Université,Mathématiques,"Arts plastiques / Musique, Français",Bénévolat / Engagement associatif,En groupe,"Oui, beaucoup",Pas du tout,Oui,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Parfois,Non,Avancé,Les deux,Un peu,"Oui, clairement",Bureau / travail sur ordinateur,Peut-être,Moyennement importante,Non,Leader / chef de projet,"Organisé(e), Dynamique, Rigoureux(se)",Je reste calme et cherche des solutions,Non,Très importante,"Oui, beaucoup",Développer mes compétences,Être entrepreneur,Technologie / Technique
08/07/2025 03:45:52,18 ans et plus,Seconde,"Histoire-Géographie, Physique-Chimie","Arts plastiques / Musique, Langues étrangères","Sports, Jeux vidéo, Lecture",En groupe,"Oui, beaucoup",Pas du tout,Un peu,"Visuel (images, schémas)","Oui, beaucoup",Moyennement,Oui,Oui,Intermédiaire,Techniques,Un peu,"Oui, clairement",Je ne sais pas,Non,Très importante,Oui,Exécutant / spécialiste,"Créatif(ve), Rigoureux(se), Dynamique",Je reste calme et cherche des solutions,Non,Très importante,Un peu,Obtenir mon diplôme,Contribuer à la société,Technologie / Technique
08/07/2025 03:50:52,18 ans et plus,Post-bac / Université,Mathématiques,,Sports,En groupe,"Oui, beaucoup",Un peu,Non,"Visuel (images, schémas)",Parfois,Oui,Oui,Oui,Avancé,Techniques,Non,J’ai quelques idées,Bureau / travail sur ordinateur,Non,Très importante,Parfois,Je ne sais pas,"Créatif(ve), Curieux(se)",Je préfère éviter ces situations,Non,Moyennement importante,Pas du tout,Développer mes compétences,Contribuer à la société,Technologie / Technique
08/07/2025 03:55:52,16-17 ans,Post-bac / Université,"Mathématiques, Histoire-Géographie","Arts plastiques / Musique, Langues étrangères","Sorties avec des amis, Bénévolat / Engagement associatif",En groupe,"Oui, beaucoup","Oui, beaucoup",Oui,Je ne sais pas,Non,Moyennement,Parfois,Oui,Intermédiaire,Techniques,Non,J’ai quelques idées,Travail manuel,Non,Très importante,Oui,Je ne sais pas,"Dynamique, Créatif(ve)",Je préfère éviter ces situations,Non,Très importante,Un peu,Trouver un stage,Contribuer à la société,Technologie / Technique
08/07/2025 04:00:52,18 ans et plus,Première,"Sciences de la vie et de la Terre, Français, Mathématiques",Physique-Chimie,Bénévolat / Engagement associatif,En groupe,"Oui, beaucoup",Pas du tout,Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Oui,Non,Peut-être,Courant / bilingue,Créatifs,Oui,J’ai quelques idées,Travail manuel,Oui,Très importante,Parfois,Créatif / innovateur,"Rigoureux(se), Patient(e)",Je préfère éviter ces situations,"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Développer mes compétences,Travailler dans un domaine qui me passionne,Recherche / Sciences
08/07/2025 04:05:52,14-15 ans,Première,Langues étrangères,,"Bénévolat / Engagement associatif, Jeux vidéo",En groupe,Pas du tout,Pas du tout,Oui,"Visuel (images, schémas)",Parfois,Oui,Oui,Peut-être,Intermédiaire,Techniques,Oui,J’ai quelques idées,Travail manuel,Oui,Très importante,Oui,Organisateur / planificateur,"Rigoureux(se), Curieux(se), Patient(e)",Je préfère éviter ces situations,Non,Moyennement importante,Un peu,Réussir mes examens,Continuer à apprendre,Arts / Création
08/07/2025 04:10:52,18 ans et plus,Post-bac / Université,"Arts plastiques / Musique, Histoire-Géographie, Mathématiques",Physique-Chimie,"Sorties avec des amis, Sports, Jeux vidéo",Ça dépend des situations,Pas du tout,Pas du tout,Un peu,"Auditif (écoute, explications orales)",Parfois,Moyennement,Parfois,Oui,Intermédiaire,Créatifs,Non,"Oui, clairement",Je ne sais pas,Oui,Peu importante,Parfois,Leader / chef de projet,"Patient(e), Curieux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,"Oui, beaucoup",Trouver un stage,Contribuer à la société,Divers
08/07/2025 04:15:52,18 ans et plus,Première,Français,"Histoire-Géographie, Sciences de la vie et de la Terre","Lecture, Sports",En groupe,Pas du tout,"Oui, beaucoup",Oui,"Kinesthésique (faire, manipuler)",Parfois,Moyennement,Oui,Non,Intermédiaire,Techniques,Un peu,J’ai quelques idées,Travail manuel,Non,Peu importante,Oui,Je ne sais pas,"Créatif(ve), Organisé(e), Dynamique",Je me sens parfois dépassé(e),Non,Moyennement importante,Pas du tout,Développer mes compétences,Continuer à apprendre,Arts / Création
08/07/2025 04:20:52,14-15 ans,Première,Sciences de la vie et de la Terre,"Langues étrangères, Français",Sports,Seul(e),Un peu,"Oui, beaucoup",Un peu,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Parfois,Peut-être,Avancé,Techniques,Un peu,J’ai quelques idées,Bureau / travail sur ordinateur,Non,Très importante,Oui,Je ne sais pas,Curieux(se),Je reste calme et cherche des solutions,"Oui, plusieurs fois",Moyennement importante,Un peu,Réussir mes examens,Contribuer à la société,Santé / Social
08/07/2025 04:25:52,18 ans et plus,Seconde,"Physique-Chimie, Mathématiques","Langues étrangères, Sciences de la vie et de la Terre",Jeux vidéo,Ça dépend des situations,"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,Parfois,Oui,Parfois,Peut-être,Intermédiaire,Les deux,Non,"Oui, clairement",Je ne sais pas,Oui,Peu importante,Oui,Je ne sais pas,"Organisé(e), Créatif(ve), Rigoureux(se)",Je me sens parfois dépassé(e),Non,Moyennement importante,Pas du tout,Trouver un stage,Continuer à apprendre,Informatique / Ingénierie
08/07/2025 04:30:52,18 ans et plus,Terminale,"Mathématiques, Sciences de la vie et de la Terre",Français,Sports,Seul(e),Un peu,Pas du tout,Non,"Visuel (images, schémas)",Non,Oui,Oui,Non,Avancé,Créatifs,Un peu,Pas encore,Bureau / travail sur ordinateur,Oui,Moyennement importante,Oui,Créatif / innovateur,Patient(e),Je me sens parfois dépassé(e),Non,Très importante,Un peu,Créer un projet personnel,Travailler dans un domaine qui me passionne,Communication / Marketing
08/07/2025 04:35:52,18 ans et plus,Première,Mathématiques,,Jeux vidéo,Seul(e),Un peu,"Oui, beaucoup",Oui,"Visuel (images, schémas)","Oui, beaucoup",Oui,Oui,Non,Intermédiaire,Créatifs,Oui,"Oui, clairement",Travail manuel,Peut-être,Très importante,Oui,Organisateur / planificateur,Patient(e),Je préfère éviter ces situations,Non,Moyennement importante,Un peu,Développer mes compétences,Contribuer à la société,Lettres / Sciences Humaines
08/07/2025 04:40:52,18 ans et plus,Première,"Arts plastiques / Musique, Sciences de la vie et de la Terre, Physique-Chimie","Français, Histoire-Géographie",Lecture,Seul(e),"Oui, beaucoup",Pas du tout,Non,Je ne sais pas,Parfois,Oui,Oui,Non,Intermédiaire,Créatifs,Non,Pas encore,Je ne sais pas,Non,Très importante,Non,Organisateur / planificateur,"Patient(e), Créatif(ve), Rigoureux(se)",Je reste calme et cherche des solutions,"Oui, une fois ou deux",Très importante,Un peu,Développer mes compétences,Être entrepreneur,Divers
08/07/2025 04:45:52,16-17 ans,Première,"Langues étrangères, Histoire-Géographie, Mathématiques",,Activités artistiques,Seul(e),Un peu,"Oui, beaucoup",Non,"Auditif (écoute, explications orales)","Oui, beaucoup",Oui,Non,Non,Intermédiaire,Techniques,Oui,"Oui, clairement",Laboratoire / recherche,Non,Très importante,Oui,Exécutant / spécialiste,"Organisé(e), Rigoureux(se)",Je me sens parfois dépassé(e),"Oui, plusieurs fois",Très importante,"Oui, beaucoup",Obtenir mon diplôme,Avoir un poste à responsabilités,Santé / Social
08/07/2025 04:50:52,18 ans et plus,Terminale,"Mathématiques, Arts plastiques / Musique","Langues étrangères, Français",Sports,Ça dépend des situations,"Oui, beaucoup","Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)","Oui, beaucoup",Non,Parfois,Non,Intermédiaire,Créatifs,Un peu,J’ai quelques idées,Je ne sais pas,Non,Très importante,Non,Je ne sais pas,Curieux(se),Je me sens parfois dépassé(e),"Oui, une fois ou deux",Très importante,"Oui, beaucoup",Réussir mes examens,Avoir un poste à responsabilités,Lettres / Sciences Humaines
08/07/2025 04:55:52,18 ans et plus,Terminale,Mathématiques,,"Sorties avec des amis, Lecture, Jeux vidéo",En groupe,"Oui, beaucoup","Oui, beaucoup",Non,"Kinesthésique (faire, manipuler)",Non,Moyennement,Non,Non,Débutant,Créatifs,Un peu,J’ai quelques idées,Laboratoire / recherche,Peut-être,Très importante,Non,Organisateur / planificateur,"Curieux(se), Dynamique, Organisé(e)",Je me sens parfois dépassé(e),"Oui, une fois ou deux",Moyennement importante,Pas du tout,Trouver un stage,Avoir un poste à responsabilités,Lettres / Sciences Humaines
08/07/2025 05:00:52,16-17 ans,Terminale,"Français, Histoire-Géographie, Mathématiques","Langues étrangères, Arts plastiques / Musique","Lecture, Jeux vidéo",Seul(e),Pas du tout,Un peu,Non,"Kinesthésique (faire, manipuler)",Non,Oui,Non,Oui,Avancé,Techniques,Un peu,J’ai quelques idées,Bureau / travail sur ordinateur,Oui,Peu importante,Oui,Exécutant / spécialiste,"Dynamique, Rigoureux(se), Curieux(se)",Je préfère éviter ces situations,"Oui, plusieurs fois",Peu importante,Pas du tout,Développer mes compétences,Travailler dans un domaine qui me passionne,Santé / Social
